id,name,age,job,balance,housing,loan,y
1254,Sophia,42,Lawyer,1200,no,no,no
1255,Sophia,48,Teacher,1029,yes,no,yes
1256,Jane,53,Engineer,1328,yes,no,yes
1257,Charlie,25,Manager,2470,no,yes,no
1258,Jane,32,Teacher,905,no,yes,no
1259,Jane,29,Analyst,3882,yes,no,yes
1260,Doe,36,Lawyer,4035,yes,yes,yes
1261,Sophia,26,Lawyer,1305,no,no,no
1262,Jane,30,Scientist,4984,no,yes,yes
1263,Emma,52,Manager,4620,no,no,no
1264,Liam,52,Scientist,3871,yes,yes,yes
1265,Liam,24,Nurse,762,yes,no,no
1266,Bob,25,Teacher,2042,no,yes,yes
1267,Sophia,43,Analyst,1117,yes,no,no
1268,Liam,53,Lawyer,4321,yes,no,no
1269,Alice,57,Manager,2101,yes,yes,yes
1270,Sophia,45,Teacher,2913,no,no,no
1271,John,60,Nurse,3926,no,yes,yes
1272,Sophia,23,Scientist,2230,no,yes,no
1273,Doe,37,Artist,1296,no,no,no
1274,Emma,50,Engineer,4479,no,no,no
1275,Bob,33,Doctor,786,no,yes,yes
1276,Olivia,34,Artist,1821,yes,no,yes
1277,Emma,32,Programmer,822,yes,yes,no
1278,John,60,Lawyer,4730,yes,no,no
1279,John,35,Programmer,2876,no,yes,no
1280,Alice,26,Lawyer,4345,yes,yes,no
1281,Sophia,47,Lawyer,3703,no,no,yes
1282,Bob,54,Programmer,4577,yes,no,no
1283,Alice,57,Nurse,2394,yes,no,no
1284,Emma,40,Manager,4710,no,no,no
1285,Sophia,33,Teacher,4336,no,no,yes
1286,Liam,40,Artist,2532,no,yes,yes
1287,Sophia,35,Analyst,4202,yes,yes,yes
1288,Liam,38,Programmer,2265,no,yes,yes
1289,Olivia,43,Nurse,2285,yes,yes,yes
1290,Olivia,31,Lawyer,2851,no,yes,yes
1291,Charlie,36,Artist,4778,yes,no,yes
1292,Sophia,50,Nurse,777,yes,yes,no
1293,John,53,Nurse,2895,no,no,no
1294,Jane,25,Manager,1895,yes,yes,no
1295,John,43,Doctor,3123,no,yes,no
1296,Bob,49,Doctor,4882,yes,no,no
1297,John,50,Programmer,581,yes,no,yes
1298,Doe,52,Manager,2165,no,no,yes
1299,Jane,22,Engineer,1107,yes,no,yes
1300,John,36,Artist,1304,yes,no,yes
1301,Jane,37,Scientist,1419,no,yes,yes
1302,Doe,42,Scientist,2826,no,no,yes
1303,Alice,36,Nurse,1745,no,yes,yes
1304,Charlie,33,Engineer,1957,yes,no,yes
1305,Charlie,56,Teacher,4543,no,no,yes
1306,Doe,25,Doctor,1818,yes,no,no
1307,Sophia,25,Analyst,1432,yes,yes,yes
1308,Bob,40,Engineer,3919,no,no,no
1309,Liam,24,Artist,2788,no,yes,yes
1310,Doe,53,Programmer,1031,no,yes,yes
1311,Alice,53,Nurse,4739,yes,yes,no
1312,Sophia,25,Scientist,4009,yes,yes,no
1313,Liam,50,Lawyer,1386,no,no,no
1314,Olivia,30,Programmer,1307,yes,no,yes
1315,Bob,37,Nurse,4755,no,yes,no
1316,Doe,59,Manager,1986,yes,no,no
1317,Jane,37,Engineer,2710,yes,no,yes
1318,Olivia,56,Lawyer,3161,no,yes,yes
1319,Olivia,60,Artist,1731,yes,yes,yes
1320,Bob,33,Nurse,4807,no,yes,yes
1321,Doe,39,Engineer,872,no,no,yes
1322,Olivia,58,Analyst,2774,no,no,yes
1323,Bob,54,Manager,4150,no,no,yes
1324,Liam,32,Manager,2169,yes,yes,yes
1325,Doe,60,Engineer,1921,no,no,yes
1326,Alice,34,Teacher,4857,no,yes,no
1327,Liam,36,Programmer,4953,no,yes,no
1328,Alice,28,Teacher,2189,yes,no,yes
1329,Charlie,60,Artist,3451,yes,yes,no
1330,Emma,54,Engineer,4175,no,no,yes
1331,Sophia,23,Teacher,1139,yes,no,no
1332,Bob,42,Analyst,4887,yes,yes,no
1333,Sophia,43,Scientist,1928,yes,yes,yes
1334,Doe,36,Programmer,513,no,no,no
1335,Alice,48,Teacher,1895,no,yes,yes
1336,Sophia,49,Lawyer,1495,yes,yes,yes
1337,Emma,25,Analyst,1350,yes,yes,yes
1338,Olivia,46,Manager,1431,no,no,yes
1339,Alice,27,Lawyer,4109,yes,no,yes
1340,Liam,35,Artist,3112,no,no,no
1341,Sophia,48,Analyst,2234,no,no,no
1342,Charlie,23,Programmer,507,no,yes,yes
1343,Olivia,40,Teacher,2113,no,yes,no
1344,Sophia,32,Doctor,886,no,no,yes
1345,John,29,Doctor,1693,yes,no,no
1346,Doe,52,Nurse,3485,no,no,no
1347,Doe,28,Doctor,590,no,yes,yes
1348,Emma,39,Lawyer,3236,yes,yes,no
1349,Bob,32,Scientist,2041,no,no,yes
1350,Olivia,24,Nurse,3380,yes,no,no
1351,Sophia,37,Artist,2832,no,no,yes
1352,Bob,44,Engineer,3695,no,no,no
1353,Alice,46,Artist,2481,yes,yes,yes
1354,Sophia,36,Analyst,3816,no,no,yes
1355,Emma,50,Scientist,778,yes,no,no
1356,Sophia,52,Engineer,3086,no,no,no
1357,Emma,25,Lawyer,3705,yes,yes,yes
1358,Sophia,58,Scientist,4679,no,no,yes
1359,Olivia,54,Lawyer,2282,no,no,no
1360,Alice,51,Scientist,2340,yes,no,no
1361,Charlie,35,Engineer,2334,no,no,yes
1362,Charlie,31,Lawyer,1305,no,yes,no
1363,Bob,40,Engineer,1731,no,yes,no
1364,Doe,58,Artist,517,yes,no,no
1365,Jane,42,Nurse,3851,yes,no,no
1366,Emma,41,Doctor,1939,yes,no,yes
1367,Bob,36,Programmer,1162,no,no,no
1368,Sophia,45,Teacher,3169,yes,no,yes
1369,John,53,Lawyer,4840,no,yes,yes
1370,John,41,Artist,1063,yes,no,yes
1371,Emma,34,Scientist,2425,yes,yes,yes
1372,Liam,28,Scientist,4656,no,no,yes
1373,Liam,34,Manager,4306,no,yes,no
1374,Bob,44,Engineer,3988,yes,yes,yes
1375,Liam,49,Teacher,3797,no,yes,yes
1376,Sophia,39,Analyst,602,yes,no,no
1377,Doe,26,Manager,1612,yes,yes,no
1378,Charlie,48,Manager,1314,yes,no,no
1379,Jane,51,Lawyer,1067,yes,no,yes
1380,Alice,45,Teacher,588,yes,no,yes
1381,Bob,60,Engineer,3198,no,yes,yes
1382,Emma,34,Scientist,3544,yes,no,yes
1383,Doe,40,Manager,1906,no,yes,no
1384,John,54,Nurse,2947,yes,yes,no
1385,Liam,53,Doctor,4126,yes,yes,yes
1386,Charlie,55,Lawyer,1628,no,yes,no
1387,Jane,44,Manager,1632,yes,yes,no
1388,Liam,54,Manager,3649,no,yes,no
1389,Bob,49,Analyst,1792,yes,no,no
1390,Liam,38,Nurse,3707,yes,no,yes
1391,Liam,57,Lawyer,4926,no,no,no
1392,John,56,Doctor,4739,no,no,no
1393,Sophia,40,Lawyer,4010,no,yes,yes
1394,Liam,41,Programmer,1982,yes,yes,no
1395,Bob,33,Analyst,1336,yes,no,yes
1396,John,60,Scientist,3104,yes,yes,no
1397,Doe,55,Analyst,3850,yes,no,yes
1398,Jane,54,Lawyer,2213,no,no,yes
1399,Olivia,22,Engineer,1727,no,yes,yes
1400,Sophia,40,Programmer,2350,no,yes,no
1401,John,55,Engineer,1265,no,no,no
1402,Sophia,38,Manager,694,yes,yes,no
1403,Charlie,49,Engineer,989,yes,yes,yes
1404,Liam,48,Programmer,3503,no,no,no
1405,Charlie,60,Analyst,939,no,yes,yes
1406,Emma,37,Teacher,2120,yes,yes,no
1407,Sophia,36,Artist,2877,no,yes,yes
1408,Alice,38,Analyst,4163,yes,no,yes
1409,Olivia,38,Manager,1603,no,no,no
1410,Charlie,56,Lawyer,1944,yes,no,yes
1411,Emma,34,Lawyer,1191,no,yes,yes
1412,Doe,41,Manager,1261,no,yes,yes
1413,Jane,33,Scientist,1283,no,no,no
1414,Doe,30,Doctor,1376,yes,yes,yes
1415,Charlie,29,Engineer,3224,no,no,yes
1416,Olivia,49,Lawyer,3109,yes,yes,no
1417,Charlie,31,Artist,3103,no,no,no
1418,Bob,48,Manager,1031,yes,no,no
1419,Sophia,24,Lawyer,2043,no,no,no
1420,Alice,45,Teacher,3687,no,yes,yes
1421,Bob,52,Scientist,2612,yes,no,yes
1422,Alice,22,Nurse,2870,no,yes,no
1423,Olivia,31,Teacher,1981,yes,yes,no
1424,Doe,42,Nurse,4040,yes,yes,yes
1425,John,53,Programmer,3701,no,yes,yes
1426,Emma,43,Manager,2416,no,no,no
1427,Sophia,27,Manager,798,no,yes,no
1428,Alice,27,Programmer,2271,no,no,yes
1429,John,37,Nurse,3008,yes,no,no
1430,Jane,31,Artist,1727,no,no,yes
1431,Sophia,26,Programmer,1294,yes,no,yes
1432,Sophia,52,Doctor,3578,yes,yes,yes
1433,Bob,42,Doctor,3462,yes,yes,yes
1434,Bob,33,Teacher,1616,yes,no,no
1435,Charlie,53,Nurse,3012,yes,no,yes
1436,Emma,51,Scientist,1194,yes,yes,yes
1437,Bob,30,Analyst,2662,no,yes,yes
1438,Liam,43,Engineer,2443,no,no,no
1439,Olivia,41,Analyst,4016,yes,no,yes
1440,Doe,29,Manager,4383,no,yes,yes
1441,Sophia,31,Scientist,1189,yes,yes,no
1442,Sophia,27,Doctor,1875,yes,yes,yes
1443,Doe,28,Analyst,2535,yes,yes,no
1444,Jane,43,Analyst,534,no,no,yes
1445,Alice,24,Manager,4721,yes,no,yes
1446,Doe,56,Scientist,793,no,no,no
1447,Bob,39,Manager,3343,no,yes,no
1448,Jane,50,Doctor,561,no,no,no
1449,Liam,53,Lawyer,3133,no,yes,no
1450,Doe,37,Engineer,652,yes,yes,no
1451,Sophia,49,Nurse,4548,yes,yes,yes
1452,Olivia,54,Nurse,2559,no,yes,yes
1453,Bob,22,Manager,3143,no,yes,no
1454,Alice,56,Programmer,3458,no,yes,yes
1455,Liam,30,Analyst,1238,yes,yes,no
1456,Liam,49,Analyst,2137,no,no,yes
1457,Doe,38,Engineer,1266,no,no,yes
1458,Bob,47,Engineer,4332,no,no,yes
1459,Jane,42,Analyst,1009,yes,yes,no
1460,John,47,Doctor,1661,yes,yes,yes
1461,Charlie,32,Engineer,4554,no,no,yes
1462,Olivia,46,Nurse,1767,yes,no,yes
1463,Emma,22,Lawyer,1538,yes,yes,no
1464,Emma,30,Artist,3271,no,yes,no
1465,Bob,55,Scientist,1607,no,yes,no
1466,Sophia,55,Scientist,4613,no,yes,no
1467,Olivia,38,Nurse,2406,yes,no,yes
1468,Doe,49,Analyst,4484,no,yes,no
1469,Olivia,48,Doctor,891,yes,yes,yes
1470,Olivia,56,Analyst,1558,no,no,yes
1471,Bob,34,Teacher,1331,no,no,no
1472,Sophia,34,Manager,1060,yes,yes,yes
1473,Liam,48,Manager,1462,no,no,no
1474,Olivia,47,Programmer,654,yes,yes,yes
1475,Charlie,32,Doctor,1901,no,yes,no
1476,Olivia,57,Scientist,807,no,no,no
1477,Sophia,35,Manager,1614,no,no,no
1478,Bob,36,Analyst,1938,yes,yes,no
1479,John,52,Artist,3251,no,yes,no
1480,Jane,59,Doctor,3943,yes,no,yes
1481,Jane,35,Nurse,505,no,yes,no
1482,Bob,39,Nurse,4034,yes,no,no
1483,Doe,41,Programmer,1663,yes,no,yes
1484,Bob,23,Nurse,4469,no,no,yes
1485,Liam,57,Lawyer,3404,no,yes,yes
1486,Sophia,28,Doctor,4011,yes,no,no
1487,Sophia,34,Engineer,4070,yes,yes,no
1488,John,46,Scientist,945,yes,no,yes
1489,Sophia,52,Lawyer,3849,yes,yes,yes
1490,John,48,Nurse,541,no,no,no
1491,Doe,52,Lawyer,4556,yes,yes,no
1492,Emma,31,Manager,1943,yes,no,yes
1493,Sophia,57,Doctor,2239,no,no,no
1494,Doe,57,Engineer,1240,yes,no,no
1495,Emma,36,Teacher,703,no,yes,yes
1496,Doe,59,Artist,621,no,yes,no
1497,Charlie,29,Engineer,772,yes,yes,yes
1498,Sophia,24,Analyst,2049,no,no,yes
1499,Alice,48,Scientist,4727,yes,no,yes
1500,Emma,43,Lawyer,3216,no,yes,no
1501,Olivia,40,Scientist,1542,yes,no,no
1502,Charlie,28,Lawyer,2864,no,no,no
1503,John,40,Engineer,2158,yes,no,no
1504,Alice,24,Engineer,3846,yes,no,yes
1505,Jane,24,Teacher,2691,yes,yes,yes
1506,Jane,52,Artist,2976,no,no,no
1507,John,32,Lawyer,4976,no,yes,no
1508,Olivia,37,Analyst,2658,yes,no,no
1509,Sophia,22,Doctor,2998,no,no,no
1510,Doe,50,Manager,3748,no,yes,yes
1511,Emma,24,Lawyer,1650,no,no,no
1512,John,57,Analyst,2790,yes,yes,no
1513,Alice,40,Engineer,1757,yes,no,no
1514,Liam,35,Doctor,853,no,no,yes
1515,Alice,23,Scientist,2535,yes,yes,no
1516,Doe,60,Engineer,4193,no,no,no
1517,Jane,27,Doctor,3496,no,no,no
1518,Bob,23,Doctor,2123,no,yes,no
1519,Jane,44,Manager,4821,no,yes,yes
1520,Emma,57,Doctor,776,no,no,yes
1521,Jane,33,Lawyer,4544,yes,yes,no
1522,Liam,58,Artist,2264,no,no,no
1523,Olivia,38,Engineer,1168,no,no,yes
1524,Olivia,29,Doctor,4228,no,yes,no
1525,Alice,52,Manager,4530,yes,yes,yes
1526,Jane,22,Engineer,3158,yes,yes,yes
1527,Bob,44,Engineer,1264,yes,yes,yes
1528,Jane,49,Nurse,3536,yes,no,no
1529,Charlie,24,Scientist,2095,no,yes,no
1530,Jane,27,Scientist,3848,yes,yes,yes
1531,Alice,48,Nurse,2370,yes,yes,yes
1532,Charlie,42,Engineer,1155,no,no,yes
1533,Charlie,39,Artist,1260,no,yes,no
1534,John,43,Manager,4817,no,yes,yes
1535,Alice,50,Programmer,4684,yes,yes,yes
1536,Bob,36,Nurse,1020,yes,yes,no
1537,Alice,51,Artist,599,yes,no,yes
1538,Alice,46,Artist,504,no,yes,yes
1539,Sophia,55,Scientist,4508,no,yes,no
1540,Alice,49,Nurse,1385,yes,yes,yes
1541,John,52,Manager,4149,yes,yes,no
1542,Doe,41,Manager,4383,no,no,no
1543,Alice,48,Doctor,2040,yes,yes,no
1544,Bob,33,Scientist,1941,no,yes,yes
1545,Olivia,58,Scientist,4230,no,yes,no
1546,Olivia,49,Doctor,2155,yes,no,no
1547,Doe,50,Programmer,1012,no,no,yes
1548,Jane,45,Doctor,795,yes,no,no
1549,John,59,Programmer,4501,no,yes,yes
1550,Doe,41,Analyst,3395,no,no,no
1551,Emma,51,Manager,3924,yes,no,no
1552,Sophia,39,Manager,819,yes,yes,no
1553,Emma,34,Lawyer,2076,no,yes,yes
1554,Charlie,40,Analyst,3685,yes,no,no
1555,Jane,49,Doctor,898,no,no,no
1556,Jane,24,Teacher,3855,yes,no,yes
1557,Olivia,24,Nurse,1372,no,yes,yes
1558,Bob,59,Artist,4330,yes,yes,no
1559,Olivia,29,Analyst,2218,no,yes,yes
1560,Alice,56,Manager,1613,yes,yes,no
1561,Doe,37,Nurse,4556,no,no,yes
1562,John,52,Manager,1172,yes,no,no
1563,Alice,34,Doctor,944,no,yes,no
1564,Liam,52,Teacher,3139,no,no,yes
1565,Alice,54,Engineer,2319,no,yes,yes
1566,Bob,48,Analyst,2956,yes,yes,no
1567,Olivia,38,Programmer,2522,yes,yes,yes
1568,Charlie,39,Engineer,2524,yes,no,no
1569,Bob,50,Engineer,955,no,no,yes
1570,Sophia,36,Analyst,3310,no,yes,no
1571,Olivia,28,Programmer,3031,no,no,no
1572,Jane,52,Nurse,1621,no,yes,no
1573,Alice,60,Teacher,3229,no,no,no
1574,Emma,33,Scientist,4053,yes,yes,yes
1575,Charlie,59,Doctor,1935,yes,yes,yes
1576,Doe,24,Analyst,3539,yes,no,yes
1577,Doe,23,Analyst,2150,yes,no,no
1578,Olivia,38,Teacher,3991,no,yes,yes
1579,Alice,40,Doctor,662,no,yes,no
1580,Bob,50,Lawyer,3250,yes,yes,no
1581,John,32,Nurse,3406,yes,no,no
1582,Bob,45,Artist,4458,no,yes,no
1583,Charlie,28,Analyst,2335,yes,no,yes
1584,Alice,53,Teacher,681,no,no,no
1585,Doe,40,Manager,2683,yes,no,no
1586,Liam,25,Doctor,3707,yes,yes,yes
1587,Charlie,25,Programmer,2217,no,yes,yes
1588,Sophia,28,Scientist,596,no,no,no
1589,Olivia,33,Lawyer,1971,no,yes,yes
1590,Liam,27,Nurse,2408,no,yes,yes
1591,John,41,Scientist,4624,yes,no,yes
1592,Jane,44,Engineer,1813,no,no,yes
1593,Bob,22,Programmer,3256,no,no,yes
1594,Liam,57,Lawyer,3673,no,no,no
1595,Emma,43,Teacher,1935,yes,yes,no
1596,Sophia,52,Artist,1690,no,no,yes
1597,Bob,60,Manager,2718,no,yes,no
1598,Emma,40,Engineer,2952,yes,yes,yes
1599,Doe,58,Doctor,3206,yes,yes,no
1600,John,31,Doctor,1098,no,yes,yes
1601,Olivia,56,Programmer,4785,no,yes,no
1602,Liam,60,Analyst,3631,yes,no,no
1603,John,47,Lawyer,1043,yes,no,yes
1604,Olivia,28,Programmer,1290,no,yes,yes
1605,Olivia,37,Nurse,1470,yes,yes,no
1606,Olivia,56,Engineer,1381,yes,no,no
1607,Alice,51,Programmer,3741,no,no,yes
1608,Olivia,47,Doctor,3838,yes,no,yes
1609,Bob,41,Lawyer,670,yes,no,yes
1610,Jane,28,Engineer,3119,no,yes,no
1611,Alice,39,Artist,4340,no,no,yes
1612,Bob,37,Analyst,1934,yes,yes,yes
1613,Doe,30,Artist,4057,yes,yes,yes
1614,Liam,34,Scientist,4790,yes,no,yes
1615,Jane,51,Manager,4942,yes,yes,yes
1616,Olivia,25,Programmer,3629,yes,yes,no
1617,Doe,44,Teacher,4454,no,yes,yes
1618,Olivia,40,Nurse,2234,no,no,yes
1619,Bob,53,Manager,3833,yes,yes,no
1620,Charlie,52,Lawyer,2809,no,no,no
1621,Liam,35,Analyst,887,yes,yes,no
1622,Emma,52,Engineer,1805,yes,no,yes
1623,Bob,36,Scientist,3950,no,yes,no
1624,Jane,58,Analyst,943,no,no,yes
1625,John,23,Engineer,1879,yes,no,yes
1626,Jane,24,Artist,4037,no,no,yes
1627,Emma,33,Scientist,3415,yes,yes,no
1628,Olivia,53,Programmer,4474,no,no,no
1629,Jane,27,Scientist,2352,yes,yes,no
1630,Charlie,27,Artist,2819,no,yes,yes
1631,John,55,Engineer,1263,no,no,no
1632,Charlie,58,Manager,2840,yes,yes,yes
1633,Jane,52,Teacher,4330,yes,no,yes
1634,Jane,50,Analyst,4156,no,yes,no
1635,Doe,38,Analyst,1605,yes,no,no
1636,Bob,45,Programmer,3538,no,no,yes
1637,Sophia,46,Engineer,4758,yes,no,no
1638,John,34,Artist,2037,no,no,no
1639,Emma,43,Nurse,1894,yes,no,no
1640,John,35,Programmer,671,yes,no,no
1641,Alice,24,Nurse,4923,yes,yes,no
1642,Alice,47,Programmer,2122,no,yes,no
1643,Sophia,29,Nurse,567,no,yes,no
1644,John,37,Scientist,4830,yes,yes,yes
1645,Alice,57,Nurse,3883,yes,no,yes
1646,Olivia,41,Engineer,4488,yes,no,yes
1647,Liam,53,Programmer,766,yes,yes,no
1648,Bob,38,Scientist,4165,no,no,yes
1649,Alice,34,Manager,2739,yes,yes,yes
1650,Charlie,29,Lawyer,2405,no,yes,yes
1651,Alice,41,Analyst,1266,no,yes,no
1652,Charlie,60,Teacher,1888,no,yes,no
1653,Jane,50,Programmer,4839,yes,no,no
1654,Charlie,35,Programmer,577,yes,yes,no
1655,Bob,58,Doctor,2298,no,no,yes
1656,Sophia,44,Engineer,4606,yes,yes,no
1657,John,41,Manager,2976,yes,yes,yes
1658,Emma,26,Teacher,666,no,no,no
1659,Bob,53,Scientist,4716,no,no,yes
1660,Doe,28,Artist,3730,no,yes,yes
1661,Jane,31,Scientist,4378,no,yes,no
1662,Bob,45,Manager,2269,no,no,no
1663,Doe,47,Analyst,2634,no,no,yes
1664,Alice,25,Analyst,3612,no,yes,yes
1665,Olivia,36,Scientist,3478,no,yes,no
1666,Emma,22,Lawyer,3346,no,no,yes
1667,Olivia,40,Artist,644,no,no,yes
1668,John,37,Lawyer,4294,yes,yes,no
1669,Olivia,42,Engineer,2182,yes,no,no
1670,Charlie,28,Engineer,3108,no,no,no
1671,Alice,46,Nurse,3732,no,no,no
1672,Doe,40,Analyst,4752,yes,yes,yes
1673,Charlie,55,Scientist,3505,no,yes,yes
1674,Charlie,32,Doctor,2583,no,yes,yes
1675,John,31,Lawyer,4920,no,no,no
1676,Alice,51,Nurse,791,no,no,yes
1677,Alice,52,Teacher,1621,no,yes,no
1678,John,52,Analyst,4510,yes,yes,no
1679,John,29,Lawyer,1434,no,yes,yes
1680,Jane,33,Manager,2120,no,yes,yes
1681,Alice,28,Engineer,1848,yes,yes,no
1682,Charlie,28,Nurse,3602,no,yes,yes
1683,Olivia,54,Programmer,542,no,no,no
1684,Jane,60,Engineer,2702,no,no,yes
1685,Sophia,23,Programmer,1608,yes,no,no
1686,Charlie,31,Nurse,980,yes,no,no
1687,Jane,31,Doctor,3068,no,yes,yes
1688,Jane,42,Nurse,4179,yes,no,yes
1689,John,30,Lawyer,4793,no,no,no
1690,Alice,30,Engineer,3137,yes,no,yes
1691,Sophia,52,Artist,1426,no,no,yes
1692,Bob,46,Analyst,3449,yes,yes,no
1693,Alice,52,Lawyer,524,yes,yes,no
1694,Doe,31,Doctor,4391,yes,yes,no
1695,Jane,26,Artist,2783,no,no,no
1696,Olivia,24,Engineer,3201,no,no,no
1697,Alice,33,Analyst,2605,yes,no,no
1698,Sophia,56,Scientist,1168,yes,yes,yes
1699,Doe,25,Programmer,2888,no,yes,no
1700,Sophia,59,Programmer,2363,no,no,no
1701,Emma,36,Programmer,1814,yes,yes,yes
1702,John,25,Analyst,598,yes,yes,no
1703,Olivia,34,Manager,4631,no,no,no
1704,Charlie,53,Artist,4219,yes,no,no
1705,Sophia,51,Doctor,2670,no,yes,yes
1706,Charlie,22,Engineer,2019,yes,yes,no
1707,John,30,Nurse,4767,yes,no,yes
1708,Charlie,45,Scientist,2291,no,yes,yes
1709,Charlie,33,Scientist,2196,no,yes,yes
1710,Jane,49,Artist,637,yes,no,no
1711,Alice,46,Manager,1151,no,no,no
1712,Bob,60,Lawyer,1276,yes,yes,yes
1713,John,22,Engineer,1638,no,yes,yes
1714,Doe,49,Scientist,857,no,yes,no
1715,Liam,54,Programmer,1203,yes,yes,yes
1716,Emma,57,Teacher,4771,no,yes,yes
1717,Charlie,33,Artist,1545,yes,yes,yes
1718,Bob,26,Nurse,1050,no,yes,no
1719,Bob,46,Nurse,2759,no,yes,no
1720,Emma,29,Lawyer,552,no,no,no
1721,Emma,42,Analyst,2680,yes,no,yes
1722,Jane,55,Lawyer,4859,yes,no,yes
1723,Bob,35,Doctor,4096,yes,yes,yes
1724,Sophia,59,Nurse,1641,no,no,yes
1725,Doe,57,Artist,4099,no,yes,yes
1726,Emma,26,Teacher,1688,no,yes,no
1727,Doe,50,Engineer,4370,yes,yes,yes
1728,Liam,26,Scientist,819,yes,no,no
1729,John,27,Engineer,957,no,yes,no
1730,Emma,54,Lawyer,2538,no,yes,no
1731,Olivia,25,Scientist,2218,yes,no,no
1732,Doe,51,Doctor,4673,no,yes,yes
1733,Emma,31,Scientist,1805,yes,yes,no
1734,Charlie,38,Programmer,4610,yes,yes,yes
1735,John,23,Engineer,4666,no,no,yes
1736,Doe,27,Programmer,2222,no,no,yes
1737,Bob,33,Teacher,4234,yes,yes,yes
1738,Charlie,49,Artist,1099,yes,no,no
1739,Olivia,56,Analyst,1955,yes,yes,no
1740,Doe,60,Scientist,3118,yes,yes,no
1741,Liam,25,Analyst,4823,yes,yes,no
1742,Emma,59,Analyst,2774,yes,yes,yes
1743,Sophia,54,Lawyer,4350,no,yes,no
1744,Bob,34,Analyst,4411,yes,no,yes
1745,Bob,31,Manager,3968,no,no,yes
1746,Olivia,30,Engineer,2738,no,no,yes
1747,Charlie,43,Teacher,4028,no,yes,no
1748,Bob,54,Programmer,3709,yes,no,no
1749,Jane,49,Lawyer,4143,yes,yes,yes
1750,Liam,50,Doctor,2140,yes,yes,no
1751,Sophia,26,Analyst,3564,yes,no,no
1752,Bob,40,Manager,1650,yes,no,yes
1753,Olivia,50,Analyst,4595,no,no,no
1754,Bob,23,Lawyer,3394,no,no,yes
1755,Liam,46,Lawyer,4736,yes,yes,yes
1756,Emma,30,Artist,4278,yes,yes,no
1757,Alice,41,Analyst,1654,no,no,no
1758,Charlie,44,Manager,2242,no,yes,yes
1759,Bob,33,Manager,814,no,no,yes
1760,Jane,46,Artist,2404,no,no,yes
1761,Jane,28,Teacher,1497,yes,yes,yes
1762,Alice,48,Nurse,4068,yes,no,no
1763,Jane,48,Nurse,2406,no,yes,yes
1764,Liam,58,Manager,3389,no,no,no
1765,John,49,Teacher,3589,no,yes,no
1766,Bob,31,Programmer,4406,no,yes,no
1767,Alice,37,Nurse,1639,no,yes,no
1768,Alice,45,Manager,3544,yes,no,no
1769,Charlie,34,Scientist,1225,no,yes,no
1770,Liam,58,Engineer,4691,yes,yes,no
1771,Charlie,54,Nurse,4984,no,no,no
1772,Olivia,38,Manager,2438,yes,yes,yes
1773,Sophia,35,Nurse,1211,yes,no,yes
1774,Bob,37,Scientist,885,no,no,yes
1775,Emma,42,Artist,1068,yes,yes,no
1776,Bob,59,Manager,1491,no,yes,no
1777,Emma,47,Programmer,4286,no,no,no
1778,Alice,31,Analyst,879,yes,yes,no
1779,Liam,27,Nurse,1093,no,no,no
1780,Alice,57,Manager,4515,yes,no,yes
1781,Charlie,45,Lawyer,1878,yes,no,yes
1782,Bob,59,Teacher,1632,yes,no,yes
1783,Bob,22,Lawyer,1628,no,no,yes
1784,Jane,60,Programmer,543,yes,no,no
1785,John,39,Lawyer,3869,yes,yes,yes
1786,John,50,Artist,3773,yes,yes,no
1787,Charlie,60,Programmer,2635,no,no,yes
1788,Olivia,42,Scientist,4841,yes,yes,no
1789,Emma,25,Manager,1111,yes,no,no
1790,Charlie,41,Programmer,1963,no,yes,no
1791,Olivia,41,Engineer,1199,yes,yes,no
1792,Sophia,30,Engineer,3700,yes,no,yes
1793,Sophia,26,Artist,2005,yes,yes,no
1794,Bob,33,Artist,2246,no,yes,yes
1795,Olivia,34,Analyst,617,yes,no,yes
1796,Charlie,58,Lawyer,3351,yes,no,no
1797,Doe,43,Artist,3385,yes,yes,no
1798,Alice,34,Doctor,4161,no,yes,no
1799,John,57,Nurse,540,yes,yes,yes
1800,Bob,41,Analyst,1223,no,yes,yes
1801,Liam,30,Analyst,4325,yes,no,no
1802,Bob,53,Manager,4838,yes,no,yes
1803,Doe,23,Manager,4953,no,no,no
1804,Charlie,27,Teacher,1413,no,no,yes
1805,Liam,54,Lawyer,1307,no,yes,no
1806,Emma,49,Engineer,2021,no,no,no
1807,Emma,30,Manager,556,no,no,yes
1808,Charlie,35,Engineer,2719,yes,yes,yes
1809,Emma,43,Manager,549,no,yes,yes
1810,Doe,57,Programmer,2200,yes,yes,no
1811,Sophia,40,Scientist,2397,no,no,yes
1812,Charlie,34,Scientist,3881,no,yes,yes
1813,Jane,34,Engineer,541,no,yes,no
1814,Olivia,36,Analyst,719,yes,no,yes
1815,Sophia,26,Programmer,4892,no,no,no
1816,John,55,Artist,1008,yes,no,yes
1817,Charlie,49,Scientist,4575,no,no,yes
1818,Sophia,45,Teacher,3145,yes,no,yes
1819,John,24,Scientist,2027,no,yes,no
1820,Charlie,45,Analyst,1792,no,no,yes
1821,Olivia,44,Artist,2974,yes,no,no
1822,Bob,38,Analyst,4043,yes,yes,no
1823,Emma,37,Programmer,2194,no,no,no
1824,Jane,25,Teacher,3066,yes,yes,no
1825,Sophia,33,Scientist,2348,yes,no,no
1826,Alice,51,Artist,1835,no,yes,no
